GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SerenityDemo,com.edu.serenitydemo.mapper,CustomerEntityMapperImpl,109,39,7,1,27,11,6,2,2,2
SerenityDemo,com.edu.serenitydemo.controller,CustomerController,15,17,0,0,3,3,2,2,2,2
SerenityDemo,com.edu.serenitydemo.constants,ResponseStatusEnum,0,69,0,0,0,11,0,4,0,4
SerenityDemo,com.edu.serenitydemo.repository.entity.base,BaseEntity,37,14,0,0,6,5,6,2,6,2
SerenityDemo,com.edu.serenitydemo.repository.entity,Customer,52,34,0,0,8,3,9,9,9,9
SerenityDemo,com.edu.serenitydemo,SerenityDemoApplication,5,3,0,0,2,1,1,1,1,1
SerenityDemo,com.edu.serenitydemo.exception,BadRequestException,36,0,0,0,7,0,4,0,4,0
SerenityDemo,com.edu.serenitydemo.exception,ValidationErrorResponse,27,0,0,0,5,0,6,0,6,0
SerenityDemo,com.edu.serenitydemo.exception,ValidationErrorResponse.ValidationErrorResponseBuilder,38,0,0,0,1,0,5,0,5,0
SerenityDemo,com.edu.serenitydemo.exception,ExceptionHandlerController,61,10,2,0,14,2,4,2,3,2
SerenityDemo,com.edu.serenitydemo.service,CustomerService,42,27,0,0,7,6,3,2,3,2
SerenityDemo,com.edu.serenitydemo.factory,ResponseStatus.ResponseStatusBuilder,38,0,0,0,1,0,5,0,5,0
SerenityDemo,com.edu.serenitydemo.factory,ResponseStatus,30,0,0,0,6,0,7,0,7,0
SerenityDemo,com.edu.serenitydemo.factory,ResponseWrapper,11,26,0,0,4,9,1,5,1,5
SerenityDemo,com.edu.serenitydemo.factory,ResponseStatusEnum,33,0,0,0,8,0,4,0,4,0
SerenityDemo,com.edu.serenitydemo.factory,ResponseFactory,31,12,0,0,6,3,3,2,3,2
SerenityDemo,com.edu.serenitydemo.dto.request,CustomerRequest,28,52,0,0,2,9,2,15,2,15
SerenityDemo,com.edu.serenitydemo.dto.request,CustomerRequest.CustomerRequestBuilder,98,0,0,0,1,0,10,0,10,0
SerenityDemo,com.edu.serenitydemo.dto.response,CreateCustomerResponse.CreateCustomerResponseBuilder,12,14,0,0,0,1,1,3,1,3
SerenityDemo,com.edu.serenitydemo.dto.response,CreateCustomerResponse,7,13,0,0,2,3,2,3,2,3
SerenityDemo,com.edu.serenitydemo.dto.response,CustomerResponse.CustomerResponseBuilder,134,0,0,0,1,0,13,0,13,0
SerenityDemo,com.edu.serenitydemo.dto.response,CustomerResponse,110,0,0,0,14,0,23,0,23,0
SerenityDemo,com.edu.serenitydemo.config,ValidatorConfig,25,0,0,0,8,0,3,0,3,0
